id,value
2025_08_Claim_Frequency,222
2025_08_Claim_Severity,48670888.30887387
2025_08_Total_Claim,10804937204.57
2025_09_Claim_Frequency,252
2025_09_Claim_Severity,42687166.21154762
2025_09_Total_Claim,10757165885.31
2025_10_Claim_Frequency,256.446212774962
2025_10_Claim_Severity,44809177.363662876
2025_10_Total_Claim,11491143832.472902
2025_11_Claim_Frequency,257.47255832238227
2025_11_Claim_Severity,46067418.85722716
2025_11_Total_Claim,11861096188.479033
2025_12_Claim_Frequency,245.28942548874926
2025_12_Claim_Severity,44582407.80458799
2025_12_Total_Claim,10935593197.292519
